in s,C1 in V
-5.0224E-05,-2.930E-03
-5.0208E-05,2.637E-02
-5.0192E-05,1.660E-02
-5.0176E-05,2.637E-02
-5.0160E-05,6.836E-03
-5.0144E-05,3.613E-02
-5.0128E-05,6.836E-03
-5.0112E-05,2.637E-02
-5.0096E-05,1.660E-02
-5.0080E-05,6.836E-03
-5.0064E-05,2.637E-02
-5.0048E-05,-2.930E-03
-5.0032E-05,-2.930E-03
-5.0016E-05,4.590E-02
-5.0000E-05,-3.223E-02
-4.9984E-05,4.590E-02
-4.9968E-05,-2.930E-03
-4.9952E-05,2.637E-02
-4.9936E-05,2.637E-02
-4.9920E-05,5.566E-02
-4.9904E-05,-2.246E-02
-4.9888E-05,6.836E-03
-4.9872E-05,1.660E-02
-4.9856E-05,5.566E-02
-4.9840E-05,6.836E-03
-4.9824E-05,-2.930E-03
-4.9808E-05,-2.930E-03
-4.9792E-05,1.660E-02
-4.9776E-05,-2.246E-02
-4.9760E-05,3.613E-02
-4.9744E-05,-2.930E-03
-4.9728E-05,1.660E-02
-4.9712E-05,-1.270E-02
-4.9696E-05,2.637E-02
-4.9680E-05,-2.930E-03
-4.9664E-05,1.660E-02
-4.9648E-05,2.637E-02
-4.9632E-05,6.836E-03
-4.9616E-05,-2.246E-02
-4.9600E-05,-2.930E-03
-4.9584E-05,-2.930E-03
-4.9568E-05,2.637E-02
-4.9552E-05,-2.930E-03
-4.9536E-05,-1.270E-02
-4.9520E-05,1.660E-02
-4.9504E-05,2.637E-02
-4.9488E-05,2.637E-02
-4.9472E-05,-1.270E-02
-4.9456E-05,-2.930E-03
-4.9440E-05,-2.930E-03
-4.9424E-05,-2.930E-03
-4.9408E-05,2.637E-02
-4.9392E-05,6.836E-03
-4.9376E-05,1.660E-02
-4.9360E-05,-2.930E-03
-4.9344E-05,6.836E-03
-4.9328E-05,2.637E-02
-4.9312E-05,2.637E-02
-4.9296E-05,-2.930E-03
-4.9280E-05,-2.930E-03
-4.9264E-05,-2.246E-02
-4.9248E-05,2.637E-02
-4.9232E-05,4.590E-02
-4.9216E-05,-2.930E-03
-4.9200E-05,-2.930E-03
-4.9184E-05,2.637E-02
-4.9168E-05,-2.930E-03
-4.9152E-05,2.637E-02
-4.9136E-05,4.590E-02
-4.9120E-05,2.637E-02
-4.9104E-05,6.836E-03
-4.9088E-05,1.660E-02
-4.9072E-05,6.836E-03
-4.9056E-05,6.836E-03
-4.9040E-05,6.836E-03
-4.9024E-05,1.660E-02
-4.9008E-05,1.660E-02
-4.8992E-05,6.836E-03
-4.8976E-05,-1.270E-02
-4.8960E-05,-2.930E-03
-4.8944E-05,6.836E-03
-4.8928E-05,-2.930E-03
-4.8912E-05,-2.930E-03
-4.8896E-05,3.613E-02
-4.8880E-05,1.660E-02
-4.8864E-05,1.660E-02
-4.8848E-05,6.836E-03
-4.8832E-05,6.836E-03
-4.8816E-05,1.660E-02
-4.8800E-05,-2.930E-03
-4.8784E-05,2.637E-02
-4.8768E-05,-2.930E-03
-4.8752E-05,-2.930E-03
-4.8736E-05,1.660E-02
-4.8720E-05,-2.930E-03
-4.8704E-05,2.637E-02
-4.8688E-05,2.637E-02
-4.8672E-05,-2.930E-03
-4.8656E-05,-2.930E-03
-4.8640E-05,-1.270E-02
-4.8624E-05,6.836E-03
-4.8608E-05,3.613E-02
-4.8592E-05,-3.223E-02
-4.8576E-05,2.637E-02
-4.8560E-05,6.836E-03
-4.8544E-05,3.613E-02
-4.8528E-05,6.836E-03
-4.8512E-05,4.590E-02
-4.8496E-05,6.836E-03
-4.8480E-05,-2.930E-03
-4.8464E-05,6.836E-03
-4.8448E-05,-1.270E-02
-4.8432E-05,-2.930E-03
-4.8416E-05,4.590E-02
-4.8400E-05,1.660E-02
-4.8384E-05,5.566E-02
-4.8368E-05,-2.246E-02
-4.8352E-05,3.613E-02
-4.8336E-05,6.836E-03
-4.8320E-05,2.637E-02
-4.8304E-05,-2.930E-03
-4.8288E-05,6.836E-03
-4.8272E-05,-1.270E-02
-4.8256E-05,2.637E-02
-4.8240E-05,1.660E-02
-4.8224E-05,1.660E-02
-4.8208E-05,-2.246E-02
-4.8192E-05,1.660E-02
-4.8176E-05,6.836E-03
-4.8160E-05,6.836E-03
-4.8144E-05,1.660E-02
-4.8128E-05,3.613E-02
-4.8112E-05,6.836E-03
-4.8096E-05,-2.930E-03
-4.8080E-05,-2.930E-03
-4.8064E-05,-2.930E-03
-4.8048E-05,-2.930E-03
-4.8032E-05,-2.930E-03
-4.8016E-05,6.836E-03
-4.8000E-05,5.566E-02
-4.7984E-05,2.637E-02
-4.7968E-05,2.637E-02
-4.7952E-05,2.637E-02
-4.7936E-05,1.660E-02
-4.7920E-05,6.836E-03
-4.7904E-05,6.836E-03
-4.7888E-05,-2.930E-03
-4.7872E-05,2.637E-02
-4.7856E-05,2.637E-02
-4.7840E-05,-2.930E-03
-4.7824E-05,1.660E-02
-4.7808E-05,1.660E-02
-4.7792E-05,1.660E-02
-4.7776E-05,4.590E-02
-4.7760E-05,4.590E-02
-4.7744E-05,2.637E-02
-4.7728E-05,-2.930E-03
-4.7712E-05,1.660E-02
-4.7696E-05,-2.930E-03
-4.7680E-05,6.836E-03
-4.7664E-05,2.637E-02
-4.7648E-05,2.637E-02
-4.7632E-05,1.660E-02
